feature,local_contribution
whitepaper_risk_score,0.054081225198388094
token_holders,-0.0031872970755086882
rental_yield_pct,-0.0027214888293880524
property_condition_score,-0.002292602977393532
liquidity_ratio,-0.0021028235173840004
market_momentum,-0.0019037837388694578
document_length_words,-0.0011088429675319977
wallet_age_days,-0.0008021700688805034
annual_rent_usd,-0.0004941332033012724
trading_volume_usd,0.00027172846770495696
property_value_usd,0.0
volatility_index,0.0
occupancy_rate,0.0
document_type,0.0
disclosure_sentiment,0.0
image_count,0.0
dominant_risk_clause,0.0
blockchain_network,0.0
listing_source,0.0
monthly_transactions,0.0
token_holder_concentration,0.0
transaction_graph_density,0.0
average_gas_fee_usd,0.0
